Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:06.81,30.000000,20.596642,1.500000,1.950500
00:06.82,30.000000,20.596642,1.500000,1.950500
00:06.83,30.000000,20.596642,1.500000,1.950500
00:06.84,30.000000,20.596642,1.500000,1.950500
00:06.85,30.000000,20.596642,1.500000,1.950500
00:06.86,30.000000,20.605289,1.500000,1.949936
00:06.87,30.000000,20.605289,1.500000,1.949936
00:06.88,30.000000,20.605289,1.500000,1.949936
00:06.89,30.000000,20.605289,1.500000,1.949936
00:06.90,30.000000,20.605289,1.500000,1.949936
00:06.91,30.000000,20.605289,1.500000,1.949936
00:06.92,30.000000,20.605289,1.500000,1.949936
00:06.93,30.000000,20.605289,1.500000,1.949936
00:06.94,30.000000,20.605289,1.500000,1.949936
00:06.95,30.000000,20.605289,1.500000,1.949936
00:06.96,30.000000,20.605289,1.500000,1.949936
00:06.97,30.000000,20.613930,1.500000,1.949374
00:06.98,30.000000,20.613930,1.500000,1.949374
00:06.99,30.000000,20.613930,1.500000,1.949374
00:07.00,30.000000,20.613930,1.500000,1.949374
00:07.01,30.000000,20.613930,1.500000,1.949374
00:07.02,30.000000,20.613930,1.500000,1.949374
00:07.03,30.000000,20.613930,1.500000,1.949374
00:07.04,30.000000,20.613930,1.500000,1.949374
00:07.05,30.000000,20.613930,1.500000,1.949374
00:07.06,30.000000,20.613930,1.500000,1.949374
00:07.07,30.000000,20.622567,1.500000,1.948812
00:07.08,30.000000,20.622567,1.500000,1.948812
00:07.09,30.000000,20.622567,1.500000,1.948812
00:07.10,30.000000,20.622567,1.500000,1.948812
00:07.11,30.000000,20.622567,1.500000,1.948812
00:07.12,30.000000,20.622567,1.500000,1.948812
00:07.13,30.000000,20.622567,1.500000,1.948812
00:07.14,30.000000,20.622567,1.500000,1.948812
00:07.15,30.000000,20.622567,1.500000,1.948812
00:07.16,30.000000,20.622567,1.500000,1.948812
00:07.17,30.000000,20.631197,1.500000,1.948250
00:07.18,30.000000,20.631197,1.500000,1.948250
00:07.19,30.000000,20.631197,1.500000,1.948250
00:07.20,30.000000,20.631197,1.500000,1.948250
